sample,date,time,doy,loc,light
1,5/25/2018,1:10pm,146,IN,1331
2,5/25/2018,1:10pm,146,IN,1345
3,5/25/2018,1:10pm,146,IN,1340
4,5/25/2018,1:10pm,146,IN,1497
5,5/25/2018,1:10pm,146,IN,1473
6,5/25/2018,1:10pm,146,IN,1467
7,5/25/2018,1:10pm,146,IN,1529
8,5/25/2018,1:10pm,146,IN,1518
9,5/25/2018,1:10pm,146,IN,1455
10,5/25/2018,1:10pm,146,IN,1530
1,5/25/2018,1:10pm,146,OUT,1877
2,5/25/2018,1:10pm,146,OUT,1895
3,5/25/2018,1:10pm,146,OUT,1929
4,5/25/2018,1:10pm,146,OUT,1930
5,5/25/2018,1:10pm,146,OUT,1873
6,5/25/2018,1:10pm,146,OUT,1867
7,5/25/2018,1:10pm,146,OUT,1939
8,5/25/2018,1:10pm,146,OUT,1911
9,5/25/2018,1:10pm,146,OUT,1855
10,5/25/2018,1:10pm,146,OUT,1889
1,6/5/2018,1:00pm,157,IN,1518
2,6/5/2018,1:00pm,157,IN,1500
3,6/5/2018,1:00pm,157,IN,1408
4,6/5/2018,1:00pm,157,IN,1380
5,6/5/2018,1:00pm,157,IN,1382
6,6/5/2018,1:00pm,157,IN,1342
7,6/5/2018,1:00pm,157,IN,1494
8,6/5/2018,1:00pm,157,IN,1474
9,6/5/2018,1:00pm,157,IN,1324
10,6/5/2018,1:00pm,157,IN,1481
1,6/5/2018,1:00pm,157,OUT,2001
2,6/5/2018,1:00pm,157,OUT,1987
3,6/5/2018,1:00pm,157,OUT,1999
4,6/5/2018,1:00pm,157,OUT,1987
5,6/5/2018,1:00pm,157,OUT,2004
6,6/5/2018,1:00pm,157,OUT,2001
7,6/5/2018,1:00pm,157,OUT,2045
8,6/5/2018,1:00pm,157,OUT,1995
9,6/5/2018,1:00pm,157,OUT,2006
10,6/5/2018,1:00pm,157,OUT,2036
