pot,tx,sampling,anet,cond,trans
1,Control,Day 11,18.8,0.204,10.5
1,Control,Day 11,17.5,0.203,10.6
1,Control,Day 11,17.1,0.203,10.6
1,Control,Day 11,16.6,0.203,10.6
1,Control,Day 11,17,0.204,10.7
6,Control,Day 11,23.1,0.171,9.14
6,Control,Day 11,23.1,0.171,9.12
6,Control,Day 11,22.6,0.17,9.09
6,Control,Day 11,22.3,0.168,9.01
6,Control,Day 11,23.4,0.169,9.04
9,Control,Day 11,13.9,0.119,6.61
9,Control,Day 11,13.8,0.119,6.62
9,Control,Day 11,13.5,0.118,6.56
9,Control,Day 11,13.9,0.117,6.54
9,Control,Day 11,13.8,0.118,6.58
10,Control,Day 11,16.2,0.149,6.42
10,Control,Day 11,15.9,0.149,6.43
10,Control,Day 11,15.7,0.15,6.51
10,Control,Day 11,15.8,0.147,6.4
10,Control,Day 11,16.5,0.148,6.41
12,Control,Day 11,22.4,0.141,8.06
12,Control,Day 11,22.4,0.141,8.09
12,Control,Day 11,22.9,0.141,8.13
12,Control,Day 11,23,0.14,8.08
12,Control,Day 11,23,0.14,8.08
13,Control,Day 11,20.1,0.17,8.32
13,Control,Day 11,19,0.168,8.23
13,Control,Day 11,20.8,0.168,8.26
13,Control,Day 11,21.2,0.168,8.27
13,Control,Day 11,19.7,0.169,8.31
15,Control,Day 11,17.6,0.124,6.34
15,Control,Day 11,17.8,0.125,6.43
15,Control,Day 11,18.3,0.124,6.41
15,Control,Day 11,17.9,0.123,6.36
15,Control,Day 11,17.5,0.123,6.36
18,Control,Day 11,8.42,0.107,5.44
18,Control,Day 11,9.15,0.106,5.41
18,Control,Day 11,9.48,0.107,5.49
18,Control,Day 11,9.1,0.107,5.46
18,Control,Day 11,9.19,0.107,5.46
30,Drought,Day 11,-3.28,0.0176,1.35
30,Drought,Day 11,-2.08,0.0179,1.38
30,Drought,Day 11,-3.43,0.0172,1.32
30,Drought,Day 11,-4.07,0.017,1.31
30,Drought,Day 11,-3.26,0.0193,1.49
32,Drought,Day 11,-1.2,0.0485,3.65
32,Drought,Day 11,-0.299,0.047,3.54
32,Drought,Day 11,-0.721,0.0478,3.61
32,Drought,Day 11,-0.532,0.048,3.63
32,Drought,Day 11,-0.839,0.0473,3.58
34,Drought,Day 11,-1.39,0.0255,1.91
34,Drought,Day 11,-0.149,0.0243,1.82
34,Drought,Day 11,-1.43,0.0257,1.93
34,Drought,Day 11,-1.09,0.0246,1.85
34,Drought,Day 11,-1.65,0.0239,1.79
36,Drought,Day 11,2.56,0.0503,3.76
36,Drought,Day 11,2.26,0.0511,3.82
36,Drought,Day 11,2.38,0.0504,3.76
36,Drought,Day 11,2.12,0.0498,3.71
36,Drought,Day 11,3.59,0.0531,3.95
37,Drought,Day 11,5.02,0.0376,2.6
37,Drought,Day 11,4.61,0.0372,2.56
37,Drought,Day 11,4.37,0.0381,2.6
37,Drought,Day 11,5.42,0.0375,2.54
37,Drought,Day 11,4.64,0.0387,2.61
44,Wet,Day 11,19.6,0.182,8.81
44,Wet,Day 11,20.7,0.182,8.85
44,Wet,Day 11,20,0.182,8.86
44,Wet,Day 11,20.3,0.183,8.89
44,Wet,Day 11,20,0.185,8.95
44,Wet,Day 11,20.8,0.182,8.83
45,Wet,Day 11,19.8,0.181,11.6
45,Wet,Day 11,19.4,0.18,11.6
45,Wet,Day 11,19.1,0.18,11.6
45,Wet,Day 11,18.6,0.177,11.6
45,Wet,Day 11,19,0.178,11.7
46,Wet,Day 11,12.3,0.143,7.15
46,Wet,Day 11,12.8,0.142,7.14
46,Wet,Day 11,13.3,0.143,7.17
46,Wet,Day 11,13,0.141,7.12
46,Wet,Day 11,12.7,0.14,7.09
50,Wet,Day 11,21.5,0.188,11
50,Wet,Day 11,21.8,0.188,10.9
50,Wet,Day 11,20.9,0.19,10.9
50,Wet,Day 11,21.7,0.191,10.9
50,Wet,Day 11,22.1,0.193,10.9
56,Wet,Day 11,12.9,0.221,11.3
56,Wet,Day 11,13.8,0.216,11.2
56,Wet,Day 11,12.5,0.214,11.2
56,Wet,Day 11,12.8,0.213,11.2
56,Wet,Day 11,12.9,0.213,11.3
58,Wet,Day 11,17.3,0.185,9.24
58,Wet,Day 11,16.8,0.185,9.24
58,Wet,Day 11,17.2,0.186,9.26
58,Wet,Day 11,16.9,0.186,9.28
58,Wet,Day 11,17.2,0.185,9.24
60,Wet,Day 11,15.4,0.193,9.24
60,Wet,Day 11,15.7,0.194,9.22
60,Wet,Day 11,15.6,0.195,9.25
60,Wet,Day 11,15.5,0.194,9.18
60,Wet,Day 11,15.3,0.194,9.2
2,Control,Day 22,15.8,0.149,6
2,Control,Day 22,15.9,0.149,6.02
2,Control,Day 22,16.6,0.148,5.97
2,Control,Day 22,15.6,0.149,6
2,Control,Day 22,16.2,0.147,5.96
4,Control,Day 22,11.7,0.0834,4.84
4,Control,Day 22,12.1,0.0825,4.8
4,Control,Day 22,12.1,0.0818,4.78
4,Control,Day 22,12.1,0.0823,4.82
4,Control,Day 22,11.9,0.0813,4.77
7,Control,Day 22,11.5,0.0847,4.42
7,Control,Day 22,11.8,0.0834,4.37
7,Control,Day 22,10.9,0.0854,4.47
7,Control,Day 22,10.8,0.0849,4.46
8,Control,Day 22,13.2,0.14,6.12
8,Control,Day 22,14.2,0.139,6.11
8,Control,Day 22,14.2,0.137,6.08
8,Control,Day 22,13.7,0.139,6.17
8,Control,Day 22,13.8,0.137,6.13
11,Control,Day 22,8.73,0.0712,3.74
11,Control,Day 22,9.1,0.0705,3.71
11,Control,Day 22,9.22,0.0701,3.69
11,Control,Day 22,9.6,0.0714,3.76
11,Control,Day 22,9.37,0.0708,3.74
14,Control,Day 22,12,0.143,6.21
14,Control,Day 22,12.4,0.143,6.21
14,Control,Day 22,12.9,0.142,6.18
14,Control,Day 22,12.8,0.143,6.18
14,Control,Day 22,12.4,0.144,6.24
16,Control,Day 22,9.35,0.113,4.62
16,Control,Day 22,9.17,0.113,4.62
16,Control,Day 22,9.37,0.113,4.64
16,Control,Day 22,9.58,0.111,4.58
16,Control,Day 22,9.13,0.113,4.63
17,Control,Day 22,14.7,0.104,6.36
17,Control,Day 22,15.1,0.104,6.35
17,Control,Day 22,14.5,0.104,6.4
17,Control,Day 22,15,0.106,6.49
17,Control,Day 22,14.2,0.106,6.5
17,Control,Day 22,14.8,0.104,6.44
20,Control,Day 22,15.5,0.132,6.29
20,Control,Day 22,15.4,0.133,6.3
20,Control,Day 22,15.1,0.133,6.24
20,Control,Day 22,15.2,0.135,6.26
20,Control,Day 22,14.3,0.138,6.29
23,Drought,Day 22,11.6,0.0455,2.6
23,Drought,Day 22,12.2,0.0455,2.6
23,Drought,Day 22,11.5,0.047,2.7
23,Drought,Day 22,11.8,0.0468,2.71
25,Drought,Day 22,3.99,0.0266,1.51
25,Drought,Day 22,4.07,0.0255,1.48
25,Drought,Day 22,3.77,0.0259,1.52
25,Drought,Day 22,4.15,0.0249,1.5
25,Drought,Day 22,4,0.0247,1.5
33,Drought,Day 22,6.5,0.0461,2.49
33,Drought,Day 22,6.9,0.0465,2.53
33,Drought,Day 22,6.31,0.0463,2.53
33,Drought,Day 22,6.36,0.0462,2.54
33,Drought,Day 22,6.63,0.0459,2.54
35,Drought,Day 22,10.1,0.0771,3.62
35,Drought,Day 22,9.83,0.0766,3.6
35,Drought,Day 22,10.1,0.0758,3.56
35,Drought,Day 22,10.1,0.0765,3.57
35,Drought,Day 22,10.4,0.0769,3.58
38,Drought,Day 22,2.48,0.0134,0.902
38,Drought,Day 22,2.99,0.0148,1
38,Drought,Day 22,3.02,0.0138,0.934
38,Drought,Day 22,3.17,0.0142,0.965
38,Drought,Day 22,2.85,0.0139,0.948
42,Wet,Day 22,12.2,0.137,7.22
42,Wet,Day 22,12.2,0.135,7.25
42,Wet,Day 22,11.6,0.136,7.25
42,Wet,Day 22,11.8,0.135,7.16
42,Wet,Day 22,11.8,0.137,7.18
43,Wet,Day 22,5.37,0.0853,5
43,Wet,Day 22,4.72,0.0818,4.88
43,Wet,Day 22,7.28,0.0819,4.88
43,Wet,Day 22,3.95,0.0833,4.93
43,Wet,Day 22,4.86,0.0844,4.9
